CourtCode,CourtType,CourtNumber,CourtLocation
0001,JUZGADO_DE_PRIMERA_INSTANCIA_E_INSTRUCCIÓN,001,AMURRIO
0003,JUZGADO_DE_PRIMERA_INSTANCIA_E_INSTRUCCIÓN,002,AMURRIO
5259,SERVICIO COMUN DE EJECUCIONES,NULL,AMURRIO
0008,AUDIENCIA_PROVINCIAL,001,VITORIA-GASTEIZ
0071,AUDIENCIA_PROVINCIAL,002,VITORIA-GASTEIZ
0009,JUZGADO_DE_PRIMERA_INSTANCIA,001,VITORIA-GASTEIZ
0010,JUZGADO_DE_PRIMERA_INSTANCIA,002,VITORIA-GASTEIZ
0011,JUZGADO_DE_PRIMERA_INSTANCIA,003,VITORIA-GASTEIZ
0012,JUZGADO_DE_PRIMERA_INSTANCIA,004,VITORIA-GASTEIZ
0004,JUZGADO_DE_PRIMERA_INSTANCIA,005,VITORIA-GASTEIZ
0072,JUZGADO_DE_PRIMERA_INSTANCIA,006,VITORIA-GASTEIZ
0844,JUZGADO_DE_PRIMERA_INSTANCIA,007,VITORIA-GASTEIZ
4300,JUZGADO_DE_PRIMERA_INSTANCIA,008,VITORIA-GASTEIZ
0026,,001,VITORIA-GASTEIZ
0074,,002,VITORIA-GASTEIZ
3837,,003,VITORIA-GASTEIZ
0013,JUZGADO_DE_INSTRUCCIÓN,001,VITORIA-GASTEIZ
0014,JUZGADO_DE_INSTRUCCIÓN,002,VITORIA-GASTEIZ
0015,JUZGADO_DE_INSTRUCCIÓN,003,VITORIA-GASTEIZ
0016,JUZGADO_DE_INSTRUCCIÓN,004,VITORIA-GASTEIZ
0022,,001,VITORIA-GASTEIZ
0023,AUDIENCIA_PROVINCIAL,001,VITORIA-GASTEIZ
0024,AUDIENCIA_PROVINCIAL,002,VITORIA-GASTEIZ
0017,,001,VITORIA-GASTEIZ
0018,,002,VITORIA-GASTEIZ
0078,,003,VITORIA-GASTEIZ
4886,,004,VITORIA-GASTEIZ
2495,,001,VITORIA-GASTEIZ
0434,,NULL,VITORIA-GASTEIZ
0079,SERVICIO COMUN DE EJECUCIONES,NULL,VITORIA-GASTEIZ
0031,AUDIENCIA_PROVINCIAL,001,ALBACETE
0042,AUDIENCIA_PROVINCIAL,002,ALBACETE
5300,JUZGADO_DE_PRIMERA_INSTANCIA,NULL,ALBACETE
5343,JUZGADO_DE_PRIMERA_INSTANCIA,008,ALBACETE
0032,JUZGADO_DE_PRIMERA_INSTANCIA,001,ALBACETE
0033,JUZGADO_DE_PRIMERA_INSTANCIA,002,ALBACETE
0041,JUZGADO_DE_PRIMERA_INSTANCIA,003,ALBACETE
0040,JUZGADO_DE_PRIMERA_INSTANCIA,004,ALBACETE
0884,JUZGADO_DE_PRIMERA_INSTANCIA,005,ALBACETE
3220,JUZGADO_DE_PRIMERA_INSTANCIA,006,ALBACETE
5045,JUZGADO_DE_PRIMERA_INSTANCIA,007,ALBACETE
0073,,001,ALBACETE
1042,,002,ALBACETE
0034,JUZGADO_DE_INSTRUCCIÓN,001,ALBACETE
0053,JUZGADO_DE_INSTRUCCIÓN,002,ALBACETE
0057,JUZGADO_DE_INSTRUCCIÓN,003,ALBACETE
0049,,001,ALBACETE
2177,,NULL,ALBACETE
0046,AUDIENCIA_PROVINCIAL,001,ALBACETE
0047,AUDIENCIA_PROVINCIAL,002,ALBACETE
3992,AUDIENCIA_PROVINCIAL,003,ALBACETE
0038,,001,ALBACETE
0039,,002,ALBACETE
0048,,003,ALBACETE
3516,,001,ALBACETE
0531,,NULL,ALBACETE
0043,AUDIENCIA_PROVINCIAL,NULL,ALBACETE
0045,,001,ALBACETE
0067,,002,ALBACETE
0044,,NULL,ALBACETE
0050,JUZGADO_DE_PRIMERA_INSTANCIA_E_INSTRUCCIÓN,001,ALCARAZ
0054,JUZGADO_DE_PRIMERA_INSTANCIA_E_INSTRUCCIÓN,001,ALMANSA
0056,JUZGADO_DE_PRIMERA_INSTANCIA_E_INSTRUCCIÓN,002,ALMANSA
0058,JUZGADO_DE_PRIMERA_INSTANCIA_E_INSTRUCCIÓN,001,CASAS IBAÑEZ
0060,JUZGADO_DE_PRIMERA_INSTANCIA_E_INSTRUCCIÓN,001,HELLIN
0062,JUZGADO_DE_PRIMERA_INSTANCIA_E_INSTRUCCIÓN,002,HELLIN
4862,JUZGADO_DE_PRIMERA_INSTANCIA_E_INSTRUCCIÓN,003,HELLIN
0064,JUZGADO_DE_PRIMERA_INSTANCIA_E_INSTRUCCIÓN,001,LA RODA
0068,JUZGADO_DE_PRIMERA_INSTANCIA_E_INSTRUCCIÓN,001,VILLARROBLEDO
2919,JUZGADO_DE_PRIMERA_INSTANCIA_E_INSTRUCCIÓN,002,VILLARROBLEDO
0087,JUZGADO_DE_PRIMERA_INSTANCIA_E_INSTRUCCIÓN,001,ALCOY
0088,JUZGADO_DE_PRIMERA_INSTANCIA_E_INSTRUCCIÓN,002,ALCOY
0091,JUZGADO_DE_PRIMERA_INSTANCIA_E_INSTRUCCIÓN,003,ALCOY
2725,JUZGADO_DE_PRIMERA_INSTANCIA_E_INSTRUCCIÓN,004,ALCOY
0094,AUDIENCIA_PROVINCIAL,001,ALICANTE
5038,AUDIENCIA_PROVINCIAL,010,ALICANTE
0095,AUDIENCIA_PROVINCIAL,002,ALICANTE
0096,AUDIENCIA_PROVINCIAL,003,ALICANTE
0188,AUDIENCIA_PROVINCIAL,004,ALICANTE
0190,AUDIENCIA_PROVINCIAL,005,ALICANTE
0264,AUDIENCIA_PROVINCIAL,006,ALICANTE
2276,AUDIENCIA_PROVINCIAL,008,ALICANTE
1566,AUDIENCIA_PROVINCIAL,NULL,ALICANTE
5295,JUZGADO_DE_PRIMERA_INSTANCIA,NULL,ALICANTE
0097,JUZGADO_DE_PRIMERA_INSTANCIA,001,ALICANTE
0705,JUZGADO_DE_PRIMERA_INSTANCIA,010,ALICANTE
2175,JUZGADO_DE_PRIMERA_INSTANCIA,011,ALICANTE
3793,JUZGADO_DE_PRIMERA_INSTANCIA,012,ALICANTE
0098,JUZGADO_DE_PRIMERA_INSTANCIA,002,ALICANTE
0099,JUZGADO_DE_PRIMERA_INSTANCIA,003,ALICANTE
0100,JUZGADO_DE_PRIMERA_INSTANCIA,004,ALICANTE
0118,JUZGADO_DE_PRIMERA_INSTANCIA,005,ALICANTE
0102,JUZGADO_DE_PRIMERA_INSTANCIA,006,ALICANTE
0213,JUZGADO_DE_PRIMERA_INSTANCIA,007,ALICANTE
0214,JUZGADO_DE_PRIMERA_INSTANCIA,008,ALICANTE
0219,JUZGADO_DE_PRIMERA_INSTANCIA,009,ALICANTE
0271,,001,ALICANTE
0127,,002,ALICANTE
0313,,003,ALICANTE
4611,,004,ALICANTE
0108,JUZGADO_DE_INSTRUCCIÓN,001,ALICANTE
0105,JUZGADO_DE_INSTRUCCIÓN,002,ALICANTE
0119,JUZGADO_DE_INSTRUCCIÓN,003,ALICANTE
0120,JUZGADO_DE_INSTRUCCIÓN,004,ALICANTE
0121,JUZGADO_DE_INSTRUCCIÓN,005,ALICANTE
0216,JUZGADO_DE_INSTRUCCIÓN,006,ALICANTE
0217,JUZGADO_DE_INSTRUCCIÓN,007,ALICANTE
1752,JUZGADO_DE_INSTRUCCIÓN,008,ALICANTE
0314,JUZGADO_DE_INSTRUCCIÓN,009,ALICANTE
1048,,001,ALICANTE
0334,,002,ALICANTE
2685,,003,ALICANTE
0265,,NULL,ALICANTE
2275,JUZGADO_DE_LO_MERCANTIL,001,ALICANTE
2732,JUZGADO_DE_LO_MERCANTIL,002,ALICANTE
0110,AUDIENCIA_PROVINCIAL,001,ALICANTE
0201,AUDIENCIA_PROVINCIAL,002,ALICANTE
0202,AUDIENCIA_PROVINCIAL,003,ALICANTE
0203,AUDIENCIA_PROVINCIAL,004,ALICANTE
0204,AUDIENCIA_PROVINCIAL,005,ALICANTE
0205,AUDIENCIA_PROVINCIAL,006,ALICANTE
0260,AUDIENCIA_PROVINCIAL,007,ALICANTE
4679,AUDIENCIA_PROVINCIAL,008,ALICANTE
5353,AUDIENCIA_PROVINCIAL,009,ALICANTE
0111,,001,ALICANTE
0112,,002,ALICANTE
0113,,003,ALICANTE
0114,,004,ALICANTE
0115,,005,ALICANTE
0116,,006,ALICANTE
0122,,007,ALICANTE
2679,,001,ALICANTE
3429,,002,ALICANTE
1126,,NULL,ALICANTE
5344,JUZGADO_DE_PRIMERA_INSTANCIA,005,BENIDORM
0132,JUZGADO_DE_PRIMERA_INSTANCIA,001,BENIDORM
0138,JUZGADO_DE_PRIMERA_INSTANCIA,002,BENIDORM
0149,JUZGADO_DE_PRIMERA_INSTANCIA,003,BENIDORM
0703,JUZGADO_DE_PRIMERA_INSTANCIA,004,BENIDORM
0133,JUZGADO_DE_INSTRUCCIÓN,001,BENIDORM
0134,JUZGADO_DE_INSTRUCCIÓN,002,BENIDORM
0139,JUZGADO_DE_INSTRUCCIÓN,003,BENIDORM
0147,JUZGADO_DE_INSTRUCCIÓN,004,BENIDORM
8010,,NULL,BENIDORM
0309,AUDIENCIA_PROVINCIAL,001,BENIDORM
0852,AUDIENCIA_PROVINCIAL,002,BENIDORM
4143,AUDIENCIA_PROVINCIAL,003,BENIDORM
0308,,001,BENIDORM
3730,,001,BENIDORM
0150,JUZGADO_DE_PRIMERA_INSTANCIA,001,DENIA
0154,JUZGADO_DE_PRIMERA_INSTANCIA,002,DENIA
0093,JUZGADO_DE_PRIMERA_INSTANCIA,003,DENIA
1668,JUZGADO_DE_PRIMERA_INSTANCIA,004,DENIA
4859,JUZGADO_DE_PRIMERA_INSTANCIA,005,DENIA
0153,JUZGADO_DE_INSTRUCCIÓN,001,DENIA
0092,JUZGADO_DE_INSTRUCCIÓN,002,DENIA
2783,JUZGADO_DE_INSTRUCCIÓN,003,DENIA
3933,,001,DENIA
0317,AUDIENCIA_PROVINCIAL,NULL,ELCHE
3575,AUDIENCIA_PROVINCIAL,NULL,ELCHE
5345,JUZGADO_DE_PRIMERA_INSTANCIA,007,ELCHE
5346,JUZGADO_DE_PRIMERA_INSTANCIA,008,ELCHE
0159,JUZGADO_DE_PRIMERA_INSTANCIA,001,ELCHE
0162,JUZGADO_DE_PRIMERA_INSTANCIA,002,ELCHE
0167,JUZGADO_DE_PRIMERA_INSTANCIA,003,ELCHE
0169,JUZGADO_DE_PRIMERA_INSTANCIA,004,ELCHE
0143,JUZGADO_DE_PRIMERA_INSTANCIA,005,ELCHE
0706,JUZGADO_DE_PRIMERA_INSTANCIA,006,ELCHE
1506,,001,ELCHE
0160,JUZGADO_DE_INSTRUCCIÓN,001,ELCHE
0161,JUZGADO_DE_INSTRUCCIÓN,002,ELCHE
0168,JUZGADO_DE_INSTRUCCIÓN,003,ELCHE
0086,JUZGADO_DE_INSTRUCCIÓN,004,ELCHE
2825,JUZGADO_DE_INSTRUCCIÓN,005,ELCHE
4785,JUZGADO_DE_LO_MERCANTIL,NULL,ELCHE
0206,AUDIENCIA_PROVINCIAL,001,ELCHE
0207,AUDIENCIA_PROVINCIAL,002,ELCHE
1809,AUDIENCIA_PROVINCIAL,003,ELCHE
0170,,001,ELCHE
0218,,002,ELCHE
2327,,003,ELCHE
3723,,001,ELCHE
0080,JUZGADO_DE_PRIMERA_INSTANCIA_E_INSTRUCCIÓN,001,ELDA
0081,JUZGADO_DE_PRIMERA_INSTANCIA_E_INSTRUCCIÓN,002,ELDA
0084,JUZGADO_DE_PRIMERA_INSTANCIA_E_INSTRUCCIÓN,003,ELDA
0085,JUZGADO_DE_PRIMERA_INSTANCIA_E_INSTRUCCIÓN,004,ELDA
0174,JUZGADO_DE_PRIMERA_INSTANCIA_E_INSTRUCCIÓN,001,IBI
3276,JUZGADO_DE_PRIMERA_INSTANCIA_E_INSTRUCCIÓN,002,IBI
5320,JUZGADO_DE_PRIMERA_INSTANCIA_E_INSTRUCCIÓN,004,NOVELDA
0180,JUZGADO_DE_PRIMERA_INSTANCIA_E_INSTRUCCIÓN,001,NOVELDA
0181,JUZGADO_DE_PRIMERA_INSTANCIA_E_INSTRUCCIÓN,002,NOVELDA
1961,JUZGADO_DE_PRIMERA_INSTANCIA_E_INSTRUCCIÓN,003,NOVELDA
1777,JUZGADO_DE_PRIMERA_INSTANCIA,001,ORIHUELA
0183,JUZGADO_DE_PRIMERA_INSTANCIA,002,ORIHUELA
0186,JUZGADO_DE_PRIMERA_INSTANCIA,003,ORIHUELA
0155,JUZGADO_DE_PRIMERA_INSTANCIA,004,ORIHUELA
4742,JUZGADO_DE_PRIMERA_INSTANCIA,005,ORIHUELA
5140,JUZGADO_DE_PRIMERA_INSTANCIA,006,ORIHUELA
0182,JUZGADO_DE_INSTRUCCIÓN,001,ORIHUELA
0156,JUZGADO_DE_INSTRUCCIÓN,002,ORIHUELA
4288,JUZGADO_DE_INSTRUCCIÓN,003,ORIHUELA
0158,AUDIENCIA_PROVINCIAL,001,ORIHUELA
4075,AUDIENCIA_PROVINCIAL,003,ORIHUELA
4066,,001,ORIHUELA
0173,JUZGADO_DE_PRIMERA_INSTANCIA_E_INSTRUCCIÓN,001,SAN VICENTE DE RASPEIG
0215,JUZGADO_DE_PRIMERA_INSTANCIA_E_INSTRUCCIÓN,002,SAN VICENTE DE RASPEIG
0175,JUZGADO_DE_PRIMERA_INSTANCIA_E_INSTRUCCIÓN,003,SAN VICENTE DE RASPEIG
0266,JUZGADO_DE_PRIMERA_INSTANCIA_E_INSTRUCCIÓN,004,SAN VICENTE DE RASPEIG
0310,JUZGADO_DE_PRIMERA_INSTANCIA,001,TORREVIEJA
0319,JUZGADO_DE_PRIMERA_INSTANCIA,002,TORREVIEJA
2176,JUZGADO_DE_PRIMERA_INSTANCIA,003,TORREVIEJA
4259,JUZGADO_DE_PRIMERA_INSTANCIA,004,TORREVIEJA
1185,JUZGADO_DE_INSTRUCCIÓN,001,TORREVIEJA
0311,JUZGADO_DE_INSTRUCCIÓN,002,TORREVIEJA
0318,JUZGADO_DE_INSTRUCCIÓN,003,TORREVIEJA
1184,JUZGADO_DE_INSTRUCCIÓN,004,TORREVIEJA
3622,AUDIENCIA_PROVINCIAL,NULL,TORREVIEJA
4865,,001,TORREVIEJA
0193,JUZGADO_DE_PRIMERA_INSTANCIA_E_INSTRUCCIÓN,001,VILLAJOYOSA
0195,JUZGADO_DE_PRIMERA_INSTANCIA_E_INSTRUCCIÓN,002,VILLAJOYOSA
3830,JUZGADO_DE_PRIMERA_INSTANCIA_E_INSTRUCCIÓN,003,VILLAJOYOSA
5351,JUZGADO_DE_PRIMERA_INSTANCIA_E_INSTRUCCIÓN,004,VILLAJOYOSA
